ACCESSION,SPECIES,STRAIN,NCBI_TAXID,BIOPROJECT,N50,ASM_NAME
GCA_003947045.1,Fusarium ambrosium,NRRL 20438,131363,PRJNA389173,121643,NRRL20438v1
GCA_012977745.1,Fusarium anguioides,NRRL 25385,183586,PRJNA485357,110097,ASM1297774v1
GCA_013364935.1,Fusarium anthophilum,NRRL 25214,48485,PRJNA565749,124798,ASM1336493v1
GCA_013618295.1,Fusarium armeniacum,NRRL 25141,679435,PRJNA436741,267748,ASM1361829v1
GCA_001717845.1,Fusarium asiaticum,NRRL6101,282267,PRJNA291971,584982,ASM171784v1
GCA_012932025.1,Fusarium austroafricanum,NRRL 53441,2364996,PRJNA485357,84818,ASM1293202v1
GCA_009617525.1,Fusarium austroamericanum,28FRS,282268,PRJNA542165,436476,Faus154
GCA_000769295.1,Fusarium avenaceum,FaLH27,40199,PRJNA253730,4137378,Fave_LH27
GCA_013186375.1,Fusarium aywerte,NRRL 25410,427292,PRJNA596283,108635,ASM1318637v1
GCA_001680625.1,Fusarium azukicola,NRRL 54364,1174670,PRJNA289542,3382,ASM168062v1
GCA_012977765.1,Fusarium babinda,NRRL 25533,48486,PRJNA485357,110403,ASM1297776v1
GCA_013623355.1,Fusarium bactridioides,NRRL 66639,42668,PRJNA565749,50140,ASM1362335v1
GCA_013186755.1,Fusarium begoniae,NRRL 25300,48487,PRJNA565749,97104,ASM1318675v1
GCA_002980475.2,Fusarium beomiforme,NRRL 25174,44412,PRJNA416189,74977,ASM298047v2
GCA_013184295.1,Fusarium brasilicum,NRRL 31281,281087,PRJNA436741,129586,ASM1318429v1
GCA_001680685.1,Fusarium brasiliense,NRRL 31757,235270,PRJNA289542,5525,ASM168068v1
GCA_013363135.1,Fusarium brevicatenulatum,NRRL 25447,48488,PRJNA565749,60812,ASM1336313v1
GCA_014822075.1,Fusarium buharicum,NRRL 13371,44411,PRJNA596282,61123,ASM1482207v1
GCA_013758895.1,Fusarium bulbicola,NRRL 25176,79018,PRJNA565749,54686,ASM1375889v1
GCA_002980515.1,Fusarium burgessii,NRRL 66654,1041577,PRJNA416189,56525,ASM298051v1
GCA_014899095.1,Fusarium buxicola,NRRL 36148,57154,PRJNA614465,44816,ASM1489909v1
GCA_013624355.1,Fusarium caatingaense,NRRL 66470,2562764,PRJNA436969,91248,ASM1362435v1
GCA_004367475.1,Fusarium camptoceras,NRRL 13381,57143,PRJNA436969,216991,Fusarium_camptoceras_NRRL_13381
GCA_012600195.1,Fusarium cerealis,Fcer1134NY13,56641,PRJNA605236,16895,ASM1260019v1
GCA_011034095.1,Fusarium cf. aywerte,EtdFoc-240,2778371,PRJNA353637;PRJNA412392,636588,ASM1103409v1
GCA_011033785.1,Fusarium cf. falciforme,EtdFoc-186,2778372,PRJNA353637;PRJNA412392,299196,ASM1103378v1
GCA_011035825.1,Fusarium cf. hostae,EthFoc-23,2778373,PRJNA353637;PRJNA412392,132028,ASM1103582v1
GCA_011036685.1,Fusarium cf. nygamai,EthFoc-DSP1,2778374,PRJNA353637;PRJNA412392,3042,ASM1103668v1
GCA_011033385.1,Fusarium cf. solani,EtdFoc-155,1715230,PRJNA353637;PRJNA412392,287760,ASM1103338v1
GCA_011035275.1,Fusarium cf. verticillioides,EthFoc-133,2778375,PRJNA353637;PRJNA412392,269411,ASM1103527v1
GCA_014898915.1,Fusarium chlamydosporum,NRRL 13444,86545,PRJNA596283,193923,ASM1489891v1
GCA_000497325.3,Fusarium circinatum,FSP 34,48490,PRJNA41113,268201,ASM49732v3
GCA_004367485.1,Fusarium citri,NRRL 66334 (ITEM 10392),2495903,PRJNA436969,242401,FIESC_29_NRRL_66334_ITEM_10392
GCA_004367155.1,Fusarium clavum,NRRL 66337 (ITEM 11348),2594811,PRJNA436969,144835,FIESC_5_NRRL_66337_ITEM_11348
GCF_003316985.1,Fusarium coffeatum,FIESC_28,231269,PRJNA437524,166659,ASM331698v1
GCA_013781345.1,Fusarium coicis,NRRL 66233,1567539,PRJNA565749,83309,ASM1378134v1
GCA_001599515.1,Fusarium commune,JCM 11502,249398,PRJDB3556;PRJDB3637,930269,JCM_11502_assembly_v001
GCA_013618385.1,Fusarium compactum,NRRL 13829,867872,PRJNA436741,157863,ASM1361838v1
GCA_014824425.1,Fusarium concentricum,NRRL 25181,48491,PRJNA565749,160280,ASM1482442v1
GCA_013184415.1,Fusarium concolor,NRRL 13459,48492,PRJNA485357,52799,ASM1318441v1
GCA_013184455.1,Fusarium continuum,NRRL 66286,1566354,PRJNA488083,41752,ASM1318445v1
GCA_009617495.1,Fusarium cortaderiae,1FP,281068,PRJNA542165,372219,Fcor153
GCA_900074845.1,Fusarium culmorum,,5516,PRJEB12835,40589,FcUK99v1.2
GCA_001680505.1,Fusarium cuneirostrum,NRRL 31157,235271,PRJNA289542,8432,ASM168050v1
GCA_014824385.1,Fusarium cyanostomum,NRRL 53998,1237069,PRJNA614465,52741,ASM1482438v1
GCA_013266205.1,Fusarium decemcellulare,NRRL 13412,57161,PRJNA596284,35228,ASM1326620v1
GCA_013396175.1,Fusarium denticulatum,NRRL 25311,48507,PRJNA565749,108374,ASM1339617v1
GCA_013623525.1,Fusarium dimerum,NRRL 20691,57145,PRJNA416189,49131,ASM1362352v1
GCA_013186775.1,Fusarium dlaminii,NRRL 13164,42669,PRJNA565749,476180,ASM1318677v1
GCA_013618395.1,Fusarium domesticum,NRRL 29976,225610,PRJNA416189,23368,ASM1361839v1
GCA_003313175.1,Fusarium equiseti,D25-1,61235,PRJNA473205,6178397,ASM331317v1
GCA_002168265.2,Fusarium euwallaceae,HFEW-16-IV-019,1147111,PRJNA387548,111848,ASM216826v2
GCA_013363125.1,Fusarium falciforme,NRRL 43529,195108,PRJNA511036,32849,ASM1336312v1
GCA_004367175.1,Fusarium flagelliforme,NRRL 66336 (ITEM 11294),2675880,PRJNA436969,131932,FIESC_12_NRRL_66336_ITEM_11294
GCA_003947005.1,Fusarium floridanum,NRRL62606,1325733,PRJNA389173,59628,NRRL62606.SPAdes
GCA_013623845.1,Fusarium foetens,NRRL 38302,246455,PRJNA596293,27447,ASM1362384v1
GCA_003353625.1,Fusarium fracticaudum,CBS 137234,1604329,PRJNA412578,1700611,ASM335362v1
GCA_013758875.1,Fusarium fractiflexum,NRRL 43689,172311,PRJNA565749,75670,ASM1375887v1
GCF_900079805.1,Fusarium fujikuroi,IMI 58289,5127,PRJEB185,1182607,Fusarium_fujikuroi_IMI58289_V2
GCA_013266175.1,Fusarium gaditjirri,NRRL 45417,282569,PRJNA596290,132356,ASM1326617v1
GCA_013396165.1,Fusarium globosum,NRRL 26131,78864,PRJNA565749,71375,ASM1339616v1
GCA_014899075.1,Fusarium goolgardi,NRRL 66250,1567540,PRJNA436741,46593,ASM1489907v1
GCF_000240135.3,Fusarium graminearum PH-1,PH-1; NRRL 31084,5518,PRJNA13839,184591,ASM24013v3
GCA_013266165.1,Fusarium graminum,NRRL 20692,86546,PRJNA596285,85760,ASM1326616v1
GCA_013186795.1,Fusarium guttiforme,NRRL 22945,47756,PRJNA565749,80378,ASM1318679v1
GCA_013618405.1,Fusarium hainanense,NRRL 66475,2494463,PRJNA436969,122227,ASM1361840v1
GCA_013396295.1,Fusarium heterosporum,NRRL 20693,42747,PRJNA596285,173494,ASM1339629v1
GCA_002234235.1,Fusarium hostae,Hy9,152502,PRJNA389502,53938,Hy9
GCA_004366955.1,Fusarium humuli,NRRL 66339 (ITEM 11401),2494464,PRJNA436969,204308,ASM436695v1
GCA_013623515.1,Fusarium illudens,NRRL 22090,131364,PRJNA511036,24111,ASM1362351v1
GCA_004367075.1,Fusarium incarnatum,NRRL 66325 (ITEM 7155),298378,PRJNA436969,297642,FIESC_23_NRRL_66325_ITEM_7155
GCA_004367085.1,Fusarium irregulare,NRRL 31160,2494466,PRJNA436969,152111,FIESC_15_NRRL_31160
GCA_003698175.1,Fusarium kuroshium,UCR3666,2010991,PRJNA389173,91126,Fus_sp_AF-12_v1.0
GCA_013184315.1,Fusarium kyushuense,NRRL 25348,56665,PRJNA436741,240014,ASM1318431v1
GCA_001292635.1,Fusarium langsethiae,Fl201059,179993,PRJNA271560,74949,ASM129263v1
GCA_014898835.1,Fusarium lateritium,NRRL 13622,5523,PRJNA596286,67421,ASM1489883v1
GCA_013618495.1,Fusarium longipes,NRRL 13317,694270,PRJNA436741,420876,ASM1361849v1
GCA_013184325.1,Fusarium luffae,NRRL 66473,2494467,PRJNA436969,80644,ASM1318432v1
GCA_014898885.1,Fusarium lyarnte (nom. inval.),NRRL 54252,1041578,PRJNA596290,74127,ASM1489888v1
GCA_900044065.1,Fusarium mangiferae,MRC7560,192010,PRJEB9887,629886,Genome assembly version 1
GCA_001717855.1,Fusarium meridionale,NRRL28723,282269,PRJNA291971,168307,ASM171785v1
GCA_001633045.1,Fusarium metavorans,FSSC_6,2421284,PRJNA314357,88283,ASM163304v1
GCA_013396015.1,Fusarium mexicanum,NRRL 53147,751941,PRJNA565749,146536,ASM1339601v1
GCA_014898875.1,Fusarium miscanthi,NRRL 26231,75915,PRJNA596290,154688,ASM1489887v1
GCA_013396205.1,Fusarium mundagurra,NRRL 66235,1567541,PRJNA565749,107366,ASM1339620v1
GCA_013623345.1,Fusarium musae,NRRL 25059,1042133,PRJNA565749,90064,ASM1362334v1
GCA_004367095.1,Fusarium nanum,NRRL 66324 (ITEM 6748),2494468,PRJNA436969,209155,FIESC_25_NRRL_66324_ITEM_6748
GCA_013396005.1,Fusarium napiforme,NRRL 25196,42672,PRJNA565749,78215,ASM1339600v1
GCA_014898925.1,Fusarium nelsonii,NRRL 13338,77846,PRJNA596283,102753,ASM1489892v1
GCA_013623595.1,Fusarium nematophilum,NRRL 54600,1053271,PRJNA416189,23155,ASM1362359v1
GCA_006518225.1,Fusarium neocosmosporiellum,NRRL 22166,1325723,PRJNA511036,28868,ASM651822v1
GCA_013184375.1,Fusarium newnesense,NRRL 66241,1567543,PRJNA416189,23470,ASM1318437v1
GCA_013623555.1,Fusarium nisikadoi,NRRL 25179,78863,PRJNA565749,87107,ASM1362355v1
GCA_014898975.1,Fusarium nodosum,NRRL 36351,2592597,PRJNA436741,229876,ASM1489897v1
GCA_012977755.1,Fusarium nurragi,NRRL 36452,457084,PRJNA596294,114353,ASM1297775v1
GCA_001262555.1,Fusarium nygamai,MRC8546,42673,PRJNA281294,383648,ASM126255v1
GCF_000260195.1,Fusarium odoratissimum NRRL,54006,2502994,PRJNA176382;PRJNA73539,348590,FO_II5_V1
GCF_000149955.1,Fusarium oxysporum f. sp. lycopersici,4287,59765,PRJNA18813,95416,ASM14995v2
GCA_014899045.1,Fusarium palustre,NRRL 54050,680193,PRJNA436741,179639,ASM1489904v1
GCA_013623535.1,Fusarium penzigii,NRRL 20711,587888,PRJNA416189,58838,ASM1362353v1
GCA_013364925.1,Fusarium phaseoli,NRRL 22396,120645,PRJNA511036,89118,ASM1336492v1
GCA_013396025.1,Fusarium phyllophilum,NRRL 13617,47803,PRJNA565749,87347,ASM1339602v1
GCA_002165215.1,Fusarium pininemorale,CMW 25243,1604332,PRJNA385259,1358616,FUSPIN1.0
GCA_001675295.1,Fusarium poae,2516,36050,PRJNA319914,8631096,FPOA1.0
GCA_002093855.1,Fusarium praegraminearum,NRRL 39664,1824868,PRJNA317014,195770,ASM209385v1
GCF_900067095.1,Fusarium proliferatum,ET1,948311,PRJEB9885,782754,F. proliferatum ET1 version 1
GCA_011320165.1,Fusarium protoensiforme,NRRL 22178,2747443,PRJNA511036,75307,ASM1132016v1
GCA_013395995.1,Fusarium pseudoanthophilum,NRRL 25211,48495,PRJNA565749,60197,ASM1339599v1
GCA_013396035.1,Fusarium pseudocircinatum,NRRL 36939,56676,PRJNA565749,118013,ASM1339603v1
GCF_000303195.2,Fusarium pseudograminearum,CS3096,101028,PRJNA66583,188196,FP7
GCA_013186785.1,Fusarium pseudonygamai,NRRL 13592,47755,PRJNA565749,50016,ASM1318678v1
GCA_013186855.1,Fusarium ramigenum,NRRL 25208,48496,PRJNA565749,87353,ASM1318685v1
GCA_014899085.1,Fusarium redolens,NRRL 22901,48865,PRJNA485357,84318,ASM1489908v1
GCA_013759005.1,Fusarium sacchari,NRRL 66326,42676,PRJNA565749,187816,ASM1375900v1
GCA_001567575.1,Fusarium sambucinum,F-4,5128,PRJNA274729,180967,Fsamv1.0
GCA_013266185.1,Fusarium sarcochroum,NRRL 20472,1208366,PRJNA596286,55061,ASM1326618v1
GCA_004367495.1,Fusarium scirpi,NRRL 66328,2211609,PRJNA436969,290330,Fusarium_scirpi_NRRL_66328
GCA_013363185.1,Fusarium secorum,NRRL 62593,1477011,PRJNA565749,24927,ASM1336318v1
GCA_013623625.1,Fusarium setosum,NRRL 36526,57148,PRJNA416189,32826,ASM1362362v1
GCA_014898995.1,Fusarium sibiricum,NRRL 53430,929237,PRJNA436741,48079,ASM1489899v1
GCA_002215905.1,Fusarium solani,JS-169,169388,PRJNA368786,2569222,ASM221590v1
GCA_014885045.1,Fusarium sp. 'flavolapis',MK7,2776169,PRJNA665233,3245669,ASM1488504v1
GCA_014884825.1,Fusarium sp. 190-020-2,190-020-2,2765005,PRJNA658816,539468,ASM1488482v1
GCA_003946995.1,Fusarium sp. AF-4,NRRL62579,1325735,PRJNA389173,158082,NRRL62579.SPAdes
GCA_003947015.1,Fusarium sp. AF-6,NRRL62590,1325737,PRJNA389173,69814,NRRL62590.SPAdes
GCA_003946985.1,Fusarium sp. AF-8,NRRL62584,1325734,PRJNA389173,168109,NRRL62584.SPAdes
GCA_013416785.1,Fusarium sp. BWC,BWC,2571107,PRJNA533882,478824,ASM1341678v1
GCA_014764975.1,Fusarium sp. DS 682,DS 682,2773459,PRJNA664411,24924,SF-1-001
GCA_000966855.1,Fusarium sp. JS1030,JS1030,1580212,PRJNA269535,463816,ASM96685v1
GCA_000966865.1,Fusarium sp. JS626,JS626,1580211,PRJNA269534,655690,ASM96686v1
GCA_013624395.1,Fusarium sp. KOD 1611,KOD 1611,2736616,PRJNA565749,17780,ASM1362439v1
GCA_013010345.1,Fusarium sp. NRRL 22101,NRRL 22101,487220,PRJNA511036,29267,ASM1301034v1
GCA_013755755.1,Fusarium sp. NRRL 25184,NRRL 25184,70751,PRJNA416189,58744,ASM1375575v1
GCA_013396255.1,Fusarium sp. NRRL 25303,NRRL 25303,122381,PRJNA565749,102206,ASM1339625v1
GCA_013759095.1,Fusarium sp. NRRL 29148,NRRL 29148,2708285,PRJNA565749,31986,ASM1375909v1
GCA_013759115.1,Fusarium sp. NRRL 47473,NRRL 47473,2708284,PRJNA565749,105072,ASM1375911v1
GCA_013396095.1,Fusarium sp. NRRL 52700,NRRL 52700,1101274,PRJNA565749,411744,ASM1339609v1
GCA_013759125.1,Fusarium sp. NRRL 53293,NRRL 53293,2708283,PRJNA565749,110288,ASM1375912v1
GCA_013184445.1,Fusarium sp. NRRL 53497,NRRL 53497,2692427,PRJNA485357,145770,ASM1318444v1
GCA_013186425.2,Fusarium sp. NRRL 62610,NRRL 62610,2699242,PRJNA511036,6966,ASM1318642v2
GCA_012978555.1,Fusarium sp. NRRL 62941,NRRL 62941,1576620,PRJNA511036,28035,ASM1297855v1
GCA_013186395.1,Fusarium sp. NRRL 62944,NRRL 62944,1576622,PRJNA511036,11415,ASM1318639v1
GCA_012978535.1,Fusarium sp. NRRL 62957,NRRL 62957,2699241,PRJNA511036,3722,ASM1297853v1
GCA_013186415.1,Fusarium sp. NRRL 66088,NRRL 66088,1576625,PRJNA511036,46149,ASM1318641v1
GCA_013266265.1,Fusarium sp. NRRL 66182,NRRL 66182,2692428,PRJNA596286,35660,ASM1326626v1
GCA_014824365.1,Fusarium sp. NRRL 66894,NRRL 66894,2729611,PRJNA485357,42809,ASM1482436v1
GCA_014824405.1,Fusarium sp. NRRL 66896,NRRL 66896,2729612,PRJNA485357,45888,ASM1482440v1
GCA_002234255.1,Fusarium sp. Na10,Na10,451674,PRJNA389502,207981,Na10
GCA_013416755.1,Fusarium sp. QHM,QHM,2571106,PRJNA533880,478824,ASM1341675v1
GCA_003012315.1,Fusarium sporotrichioides,NRRL 3299,5514,PRJNA436741,218061,Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs
GCA_013186845.1,Fusarium sterilihyphosum,NRRL 25623,192009,PRJNA565749,74938,ASM1318684v1
GCA_014822085.1,Fusarium stilboides,NRRL 20429,57150,PRJNA596286,112927,ASM1482208v1
GCF_013396075.1,Fusarium subglutinans,NRRL 66333,42677,PRJNA565749,181117,ASM1339607v1
GCA_013623665.1,Fusarium sublunatum,NRRL 13384,86547,PRJNA596286,100221,ASM1362366v1
GCA_003670145.1,Fusarium subtropicale,NRRL 66764,2283686,PRJNA436741,92487,ASM367014v1
GCA_013186925.1,Fusarium succisae,NRRL 13298,42666,PRJNA565749,329061,ASM1318692v1
GCA_012977735.1,Fusarium tanahbumbuense,NRRL 66471,2594821,PRJNA436969,85388,ASM1297773v1
GCA_001513835.1,Fusarium temperatum,CMWF389,767483,PRJNA242703,392890,ASM151383v1
GCA_013186935.1,Fusarium thapsinum,NRRL 22049,120644,PRJNA565749,321487,ASM1318693v1
GCF_013396195.1,Fusarium tjaetaba,NRRL 66243,1567544,PRJNA565749,150570,ASM1339619v1
GCA_014824505.1,Fusarium torreyae,NRRL 54149,1237075,PRJNA488083,61742,ASM1482450v1
GCA_013623875.1,Fusarium torulosum,NRRL 22747,33205,PRJNA596296,90320,ASM1362387v1
GCA_013623685.1,Fusarium transvaalense,NRRL 31008,2267551,PRJNA436741,112971,ASM1362368v1
GCA_900382705.2,Fusarium tricinctum,,61284,PRJEB26420,2710832,FTRI.INRA104.GCA2018.2
GCA_013363205.1,Fusarium tuaranense,NRRL 46518,1325736,PRJNA511036,32618,ASM1336320v1
GCA_001680535.1,Fusarium tucumaniae,NRRL 31096,232081,PRJNA289542,10654,ASM168053v1
GCA_013364945.1,Fusarium tupiense,NRRL 53984,1235837,PRJNA565749,88322,ASM1336494v1
GCA_002194535.1,Fusarium udum,F-02845,42665,PRJNA385264,4952,ASM219453v1
GCF_000151355.1,Fusarium vanettenii,77-13-4,2747968,PRJNA16586,1255602,v2.0
GCF_900007375.1,Fusarium venenatum,A3/5,56646,PRJEB7533,6056384,ASM90000737v1
GCA_013623725.1,Fusarium ventricosum,NRRL 25729,42327,PRJNA416189,43095,ASM1362372v1
GCA_013623715.1,Fusarium verrucosum,NRRL 22566,1237073,PRJNA416189,95846,ASM1362371v1
GCF_000149555.1,Fusarium verticillioides,7600,117187,PRJNA176382;PRJNA15553,392397,ASM14955v1
GCA_000585705.1,Fusarium virguliforme,Mont-1,232082,PRJNA63281,72747,Fusarium_virguliforme_1.0
GCA_013183765.1,Fusarium xylarioides,KSU18978,221167,PRJNA530275,249341,ASM1318376v1
GCA_008711595.1,Fusarium xyrophilum,NRRL 62721,2687229,PRJNA565749,18500,ASM871159v1
GCA_013623745.1,Fusarium zanthoxyli,NRRL 66285,2082529,PRJNA488083,51793,ASM1362374v1
GCA_013266195.1,Fusarium zealandicum,NRRL 22465,1053134,PRJNA596292,43117,ASM1326619v1
GCA_002197995.1,Gaeumannomyces sp. JS-464,JS-464,1938905,PRJNA368789,7462253,ASM219799v1
GCF_000145635.1,Gaeumannomyces tritici,R3-111a-1,36779,PRJNA37931,48943,Gae_graminis_V2
GCA_013305925.1,Galactomyces reessii,LMA-1148,43985,PRJNA486749,37461,ASM1330592v1
GCA_000697645.1,Galerina marginata,CBS 339.88,109633,PRJNA207683,154431,Galma1
GCA_002803225.1,Gamarada debralockiae,T6G9,2037899,PRJNA407395,66095,ASM280322v1
GCA_016098015.1,Gamsiella multidivaricata,NRRL 6456,101098,PRJNA340801,12505,UCR_MmultNRRL6456_1.0
GCA_002900995.2,Ganoderma boninense,G3,34458,PRJNA421251,272644,ASM290099v2
GCA_000271565.1,Ganoderma lucidum,G.260125-1,5315,PRJNA71455,649708,GanLuc1.0
GCA_000338015.1,Ganoderma multipileum,BCRC 37180,1173714,PRJDA61379,50471,Glu37180_1.0
GCA_002760635.1,Ganoderma sinense,ZZ0214-1,36075,PRJNA42807,753893,GanSi1.6
GCA_008694245.1,Ganoderma sp. BRIUMSc,BRIUMSc,1072361,PRJNA553124,6197,ASM869424v1
GCA_003057275.1,Ganoderma tsugae,s90,34467,PRJNA445345,11659,ASM305727v1
GCA_015179125.1,Gautieria morchelliformis,GMNE.BST,112417,PRJNA256705,184800,Gaumor1_1
GCA_000320605.2,Gelatoporia subvermispora,B,42742,PRJNA60419,238865,Ceriporiopsis subvermispora B v1.0
GCA_011763415.1,Geoglossum cookeanum,TITJF5OABQ,566086,PRJNA481563,63959,ASM1176341v1
GCA_011319295.1,Geoglossum glabrum,ANM 2267-61038,90403,PRJNA368709,48617,ASM1131929v1
GCA_016748015.1,Geosiphon pyriformis,uo1,50956,PRJNA610605,106416,ASM1674801v1
GCA_900188565.1,Geosmithia flava,,240216,PRJEB13066,65099,Geosmithia-flava
GCF_012550715.1,Geosmithia morbida,1262,1094350,PRJNA588799,78609,ASM1255071v1
GCA_900188575.1,Geosmithia putterillii,,68827,PRJEB13066,150592,Geosmithia-putterillii
GCA_013365045.1,Geotrichum candidum,LMA-244,1173061,PRJNA482613,89722,LMA-244_clib
GCA_002233575.1,Geotrichum fermentans,CICC 1368,44066,PRJNA287202,4548,ASM223357v1
GCA_009809945.1,Gigaspora margarita,BEG34,4874,PRJNA575165,29433,UNITO_GmarBEG34_1.0
GCA_003550325.1,Gigaspora rosea,DAOM 194757,44941,PRJNA430513,36856,ASM355032v1
GCA_002917775.1,Glaciozyma antarctica,PI12,105987,PRJNA202387,118823,ASM291777v1
GCF_000409485.1,Glarea lozoyensis,ATCC 20868,101852,PRJNA72229,327677,GLAREA
GCA_001599755.1,Gliomastix tumulicola,JCM 17184,909944,PRJDB3556;PRJDB3659,908364,JCM_17184_assembly_v001
GCF_000344685.1,Gloeophyllum trabeum,ATCC 11539,104355,PRJNA64553,58165,Glotr1_1
GCA_004338095.1,Gloeostereum incarnatum,CCMJ2665,98760,PRJNA510122,21944,JLAU_GInc_1.1
GCA_003550305.1,Glomus cerebriforme,DAOM 227022,658196,PRJNA430010,18126,ASM355030v1
GCA_001692915.1,Glonium stellatum,CBS 207.34,574774,PRJNA295956,20086,Glonium stellatum CBS 207.34 v1.0
GCA_003611235.1,Golovinomyces cichoracearum,UMSG1,62708,PRJNA329524,4223,ASM361123v1
GCA_006912115.1,Golovinomyces magnicellulatus,FPH2017-1,62714,PRJNA540711,4027,ASM691211v1
GCA_001599655.1,Golubevia pallescens,JCM 5230,58918,PRJDB3650;PRJDB3556,380761,JCM_5230_assembly_v001
GCA_012976215.1,Golubevia sp. BC0812,BC0812,2652144,PRJNA575625,508978,WUR_Gp_BC0812
GCA_012976225.1,Golubevia sp. BC0850,BC0850,2652143,PRJNA575625,871951,WUR_Gp_BC0850
GCA_012976205.1,Golubevia sp. BC0902,BC0902,2652145,PRJNA575625,742457,WUR_Gp_BC0902
GCA_003316585.1,Gomphus bonarii,MG147,104221,PRJNA454572,4211,ASM331658v1
GCA_003314385.1,Gomphus sp. MG54,MG54,2175977,PRJNA454572,7054,ASM331438v1
GCA_001574975.1,Gonapodya prolifera,JEL478,1123529,PRJNA207863,63757,Ganpr1
GCA_001650995.1,Gongronella sp. w5,w5,483437,PRJNA316183,36975,ASM165099v1
GCA_002150815.3,Grammothele lineata,SDL-CO-2015-1,1226780,PRJNA381324,295808,ASM215081v3
GCA_001513895.1,Graphilbum fragrans,CBS 138720,67622,PRJNA298958,179282,CLC Genomic Workbench
GCA_001683735.1,Grifola frondosa,9006-11,5627,PRJNA314283,1810445,ASM168373v1
GCA_003708315.2,Groenewaldozyma salmanticensis,NRRL Y-17090,49332,PRJNA429441,255645,ASM370831v2
GCF_000143105.1,Grosmannia clavigera,kw1407,226899,PRJNA39837;PRJNA169907,1213309,Sanger-454-IlluminaPA_2.0
GCA_004028395.1,Grosmannia galeiformis,CBS 115711,255215,PRJNA507035,48583,GGAL
GCA_002778075.1,Grosmannia penicillata,CBS 134055,360150,PRJNA395605,3492433,ASM277807v1
GCA_015852425.1,Gryganskiella cystojenkinii,1230,979690,PRJNA340830,20816,UCR_Mcyst1230_1.0
GCA_000442125.1,Gyalolechia flavorubescens,KoLRI002931,1301419,PRJNA210248,474220,Cafla_v1
GCA_002938385.1,Gymnopilus dilepis,SRW20,231916,PRJNA387735,32868,ASM293838v1
GCA_015501075.1,Gymnopilus junonius,AH 44721,109634,PRJNA410305,152469,Gymjun1
GCA_009733575.1,Gymnopus androsaceus,JB14,1447940,PRJNA234428,105619,Gyman1
GCA_013368555.1,Gymnopus confluens,CBS 406.79,206315,PRJNA496462,181367,LU_GYC_1.0
GCA_000827265.1,Gymnopus luxurians,FD-317 M1,206324,PRJNA68535,114959,Gymlu1
GCA_014904945.1,Gyrodon lividus,BX,85971,PRJNA234843,90967,Gyrli1
GCA_004325065.1,Hamiltosporidium magnivora,BE-OM-2,148818,PRJNA419750,10347,BEOM2 v1
GCA_004325075.1,Hamiltosporidium tvaerminnensis,IL-G-3,1176355,PRJNA419750,12459,ILG3 v1
GCA_003706385.1,Hanseniaspora clermontiae,NRRL Y-27515,211099,PRJNA429441,65903,ASM370638v1
GCA_003020785.1,Hanseniaspora gamundiae,CRUB 1928,2094518,PRJNA434570,47900,Hgam_CRUB1928T_v1
GCA_004919775.1,Hanseniaspora guilliermondii,NRRL Y-1625,56406,PRJNA529215,90744,ASM491977v1
GCA_004919785.1,Hanseniaspora jakobsenii,ZIM 2603,1926583,PRJNA529215,22839,ASM491978v1
GCA_004919765.1,Hanseniaspora lachancei,NRRL Y-27514,211098,PRJNA529215,81456,ASM491976v1
GCA_004919825.1,Hanseniaspora meyeri,NRRL Y-27513,211097,PRJNA529215,31516,ASM491982v1
GCA_004919845.1,Hanseniaspora nectarophila,CBS 13383,1443074,PRJNA529215,45534,ASM491984v1
GCA_004919885.1,Hanseniaspora occidentalis var. citrica,CBS 6783,331638,PRJNA529215,34253,ASM491988v1
GCA_001749795.1,Hanseniaspora opuntiae,AWRI3578,211096,PRJNA325557,240102,ASM174979v1
GCA_001747045.1,Hanseniaspora osmophila,AWRI3579,56408,PRJNA325557,18891,ASM174704v1
GCA_003708335.1,Hanseniaspora pseudoguilliermondii,ZIM213 Neza Cadez,332229,PRJNA429441,82360,ASM370833v1
GCA_003708765.1,Hanseniaspora sp. 'hatyaiensis',ZIM2327 Neza Cadez; ST-476,1235602,PRJNA429441,83320,ASM370876v1
GCA_003708365.1,Hanseniaspora sp. 'singularis',ZIM2326 Neza Cadez; ST-244,572238,PRJNA429441,46911,ASM370836v1
GCA_004919795.1,Hanseniaspora sp. CRUB 1602,CRUB 1602,1888986,PRJNA529215,70434,ASM491979v1
GCA_004919915.1,Hanseniaspora thailandica,ZIM 2325,689838,PRJNA529215,90414,ASM491991v1
GCA_001747055.1,Hanseniaspora uvarum,AWRI3580,29833,PRJNA325557,453480,ASM174705v1
GCA_001664025.1,Hanseniaspora valbyensis,NRRL Y-1626,53685,PRJNA64991,17876,Hanva1_1
GCA_000585475.3,Hanseniaspora vineae,T02/19AF,56409,PRJNA238564,83174,FQ_Hvineae_v3
GCA_015500155.1,Haplosporangium bisporale,Z 9,1897645,PRJNA340799,3928,UCR_MorNRRLA12553_1.0
GCA_015499985.1,Haplosporangium gracile,Z 33,2779863,PRJNA340794,21181,UCR_McamNRRL2610_1.0
GCA_015529505.1,Haplosporangium sp. Z 11,Z 11,1897648,PRJNA340797,32317,UCR_HspNRRLA10739_1.0
